Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,mu,T,rho,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
4.157979e-01,7.238971e-01,4.899303e-03,2.299249e-07,7.425597e-02,1.349749e-01,6.438769e-19,1.241321e-05,6.088031e-02,2.100061e-04,8.701025e-02,4.246438e-05,1.021288e+03,2.967700e-01,7.425597e-02,2.240462e-01,1.430885e-04,5.513949e-03,1.663677e-02
4.193939e-01,7.234750e-01,4.968145e-03,2.425003e-07,7.456402e-02,1.344291e-01,7.295979e-19,1.311849e-05,6.146829e-02,2.114042e-04,8.734408e-02,4.250229e-05,1.022911e+03,2.959033e-01,7.456402e-02,2.381755e-01,1.436357e-04,5.559793e-03,1.775932e-02
4.233213e-01,7.230082e-01,5.046762e-03,2.541736e-07,7.485805e-02,1.338705e-01,8.166959e-19,1.378287e-05,6.211793e-02,2.127671e-04,8.768661e-02,4.253254e-05,1.024295e+03,2.950678e-01,7.485805e-02,2.518770e-01,1.441450e-04,5.603728e-03,1.885502e-02
4.275195e-01,7.225022e-01,5.134993e-03,2.636432e-07,7.512063e-02,1.333191e-01,8.951300e-19,1.433634e-05,6.282147e-02,2.140423e-04,8.802583e-02,4.255139e-05,1.025302e+03,2.943072e-01,7.512063e-02,2.638580e-01,1.445815e-04,5.643109e-03,1.982118e-02
4.316687e-01,7.219946e-01,5.226658e-03,2.693881e-07,7.532522e-02,1.328227e-01,9.505327e-19,1.469289e-05,6.352646e-02,2.151241e-04,8.833244e-02,4.255582e-05,1.025802e+03,2.936935e-01,7.532522e-02,2.723602e-01,1.448987e-04,5.673889e-03,2.051559e-02
4.354425e-01,7.215265e-01,5.314005e-03,2.711733e-07,7.546243e-02,1.324144e-01,9.770107e-19,1.483399e-05,6.417618e-02,2.159572e-04,8.858570e-02,4.254732e-05,1.025818e+03,2.932562e-01,7.546243e-02,2.768024e-01,1.450858e-04,5.694578e-03,2.088818e-02
4.387420e-01,7.211120e-01,5.393531e-03,2.699545e-07,7.554371e-02,1.320915e-01,9.795225e-19,1.480788e-05,6.475099e-02,2.165689e-04,8.878678e-02,4.253002e-05,1.025486e+03,2.929687e-01,7.554371e-02,2.779455e-01,1.451692e-04,5.706852e-03,2.099703e-02
4.416531e-01,7.207424e-01,5.466149e-03,2.667499e-07,7.558536e-02,1.318333e-01,9.655251e-19,1.466923e-05,6.526331e-02,2.170180e-04,8.894829e-02,4.250712e-05,1.024927e+03,2.927880e-01,7.558536e-02,2.767963e-01,1.451805e-04,5.713147e-03,2.092175e-02
4.443017e-01,7.204028e-01,5.534211e-03,2.621729e-07,7.559893e-02,1.316198e-01,9.401727e-19,1.445200e-05,6.573364e-02,2.173520e-04,8.908229e-02,4.248013e-05,1.024202e+03,2.926826e-01,7.559893e-02,2.740235e-01,1.451406e-04,5.715198e-03,2.071588e-02
4.467756e-01,7.200830e-01,5.599481e-03,2.565616e-07,7.559090e-02,1.314386e-01,9.065858e-19,1.417510e-05,6.617649e-02,2.175985e-04,8.919637e-02,4.244969e-05,1.023343e+03,2.926341e-01,7.559090e-02,2.700086e-01,1.450606e-04,5.713984e-03,2.041019e-02
4.491298e-01,7.197762e-01,5.663090e-03,2.501265e-07,7.556499e-02,1.312824e-01,8.668545e-19,1.385029e-05,6.660103e-02,2.177728e-04,8.929509e-02,4.241613e-05,1.022365e+03,2.926321e-01,7.556499e-02,2.649882e-01,1.449469e-04,5.710068e-03,2.002383e-02
4.514030e-01,7.194778e-01,5.725874e-03,2.430062e-07,7.552340e-02,1.311462e-01,8.224799e-19,1.348529e-05,6.701378e-02,2.178836e-04,8.938145e-02,4.237955e-05,1.021276e+03,2.926701e-01,7.552340e-02,2.591187e-01,1.448031e-04,5.703784e-03,1.956953e-02
4.536236e-01,7.191843e-01,5.788467e-03,2.353012e-07,7.546744e-02,1.310267e-01,7.746301e-19,1.308569e-05,6.741957e-02,2.179351e-04,8.945743e-02,4.233996e-05,1.020077e+03,2.927444e-01,7.546744e-02,2.525115e-01,1.446312e-04,5.695335e-03,1.905640e-02
4.558130e-01,7.188930e-01,5.851370e-03,2.270905e-07,7.539782e-02,1.309217e-01,7.242767e-19,1.265583e-05,6.782209e-02,2.179286e-04,8.952440e-02,4.229731e-05,1.018770e+03,2.928526e-01,7.539782e-02,2.452528e-01,1.444321e-04,5.684831e-03,1.849153e-02
4.579873e-01,7.186020e-01,5.914973e-03,2.184452e-07,7.531492e-02,1.308296e-01,6.722898e-19,1.219961e-05,6.822413e-02,2.178634e-04,8.958329e-02,4.225150e-05,1.017351e+03,2.929935e-01,7.531492e-02,2.374172e-01,1.442063e-04,5.672337e-03,1.788106e-02
4.601563e-01,7.183099e-01,5.979515e-03,2.094437e-07,7.521901e-02,1.307494e-01,6.195336e-19,1.172128e-05,6.862741e-02,2.177371e-04,8.963467e-02,4.220250e-05,1.015822e+03,2.931663e-01,7.521901e-02,2.290849e-01,1.439541e-04,5.657899e-03,1.723154e-02
4.623247e-01,7.180163e-01,6.045090e-03,2.001770e-07,7.511043e-02,1.306805e-01,5.668823e-19,1.122580e-05,6.903268e-02,2.175465e-04,8.967887e-02,4.215034e-05,1.014183e+03,2.933703e-01,7.511043e-02,2.203477e-01,1.436762e-04,5.641577e-03,1.655041e-02
4.644949e-01,7.177209e-01,6.111730e-03,1.907390e-07,7.498955e-02,1.306224e-01,5.151489e-19,1.071832e-05,6.944030e-02,2.172882e-04,8.971617e-02,4.209508e-05,1.012437e+03,2.936045e-01,7.498955e-02,2.113015e-01,1.433734e-04,5.623433e-03,1.584540e-02
4.666706e-01,7.174232e-01,6.179513e-03,1.812109e-07,7.485663e-02,1.305746e-01,4.649911e-19,1.020336e-05,6.985089e-02,2.169580e-04,8.974683e-02,4.203676e-05,1.010586e+03,2.938685e-01,7.485663e-02,2.020318e-01,1.430462e-04,5.603515e-03,1.512342e-02
